::1 - Wed Nov 24 2021 08:10:19 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 - - 113 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:10:19 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 16 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:10:19 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 200 - - 20 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:10:19 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 200 - - 15 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:10:19 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 200 - - 9 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:10:19 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 200 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:10:19 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 304 - - 3 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 - - 124 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /style.css HTTP/1.1 404 35 - 7 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 3 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 4 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 3 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET / HTTP/1.1 304 - - 87 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 8 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 8 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /style.css HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 304 - - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /style.css HTTP/1.1 404 35 - 3 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:14:46 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 304 - - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:15:10 GMT+0530 (India Standard Time) - GET / HTTP/1.1 304 - - 43 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
